date;city;Pandemic_severity_index
01/01/2018;Florianópolis;
01/01/2018;Itajaí;
01/01/2018;Chapecó;
01/01/2018;Lages;
01/01/2018;Caçador;
01/01/2018;Araranguá;
01/01/2018;Indaial;
01/01/2018;Xanxerê;
01/01/2018;São Miguel do Oeste;
01/01/2018;Laguna;
01/01/2018;Curitibanos;
01/01/2018;Rio Negrinho;
01/01/2018;Campos Novos;
01/01/2018;Itapoá;
01/01/2018;Joaçaba;
02/01/2018;Florianópolis;
02/01/2018;Itajaí;
02/01/2018;Chapecó;
02/01/2018;Lages;
02/01/2018;Caçador;
02/01/2018;Araranguá;
02/01/2018;Indaial;
02/01/2018;Xanxerê;
02/01/2018;São Miguel do Oeste;
02/01/2018;Laguna;
02/01/2018;Curitibanos;
02/01/2018;Rio Negrinho;
02/01/2018;Campos Novos;
02/01/2018;Itapoá;
02/01/2018;Joaçaba;
03/01/2018;Florianópolis;
03/01/2018;Itajaí;
03/01/2018;Chapecó;
03/01/2018;Lages;
03/01/2018;Caçador;
03/01/2018;Araranguá;
03/01/2018;Indaial;
03/01/2018;Xanxerê;
03/01/2018;São Miguel do Oeste;
03/01/2018;Laguna;
03/01/2018;Curitibanos;
03/01/2018;Rio Negrinho;
03/01/2018;Campos Novos;
03/01/2018;Itapoá;
03/01/2018;Joaçaba;
04/01/2018;Florianópolis;
04/01/2018;Itajaí;
04/01/2018;Chapecó;
04/01/2018;Lages;
04/01/2018;Caçador;
04/01/2018;Araranguá;
04/01/2018;Indaial;
04/01/2018;Xanxerê;
04/01/2018;São Miguel do Oeste;
04/01/2018;Laguna;
04/01/2018;Curitibanos;
04/01/2018;Rio Negrinho;
04/01/2018;Campos Novos;
04/01/2018;Itapoá;
04/01/2018;Joaçaba;
05/01/2018;Florianópolis;
05/01/2018;Itajaí;
05/01/2018;Chapecó;
05/01/2018;Lages;
05/01/2018;Caçador;
05/01/2018;Araranguá;
05/01/2018;Indaial;
05/01/2018;Xanxerê;
05/01/2018;São Miguel do Oeste;
05/01/2018;Laguna;
05/01/2018;Curitibanos;
05/01/2018;Rio Negrinho;
05/01/2018;Campos Novos;
05/01/2018;Itapoá;
05/01/2018;Joaçaba;
06/01/2018;Florianópolis;
06/01/2018;Itajaí;
06/01/2018;Chapecó;
06/01/2018;Lages;
06/01/2018;Caçador;
06/01/2018;Araranguá;
06/01/2018;Indaial;
06/01/2018;Xanxerê;
06/01/2018;São Miguel do Oeste;
06/01/2018;Laguna;
06/01/2018;Curitibanos;
06/01/2018;Rio Negrinho;
06/01/2018;Campos Novos;
06/01/2018;Itapoá;
06/01/2018;Joaçaba;
07/01/2018;Florianópolis;
07/01/2018;Itajaí;
07/01/2018;Chapecó;
07/01/2018;Lages;
07/01/2018;Caçador;
07/01/2018;Araranguá;
07/01/2018;Indaial;
07/01/2018;Xanxerê;
07/01/2018;São Miguel do Oeste;
07/01/2018;Laguna;
07/01/2018;Curitibanos;
07/01/2018;Rio Negrinho;
07/01/2018;Campos Novos;
07/01/2018;Itapoá;
07/01/2018;Joaçaba;
08/01/2018;Florianópolis;
08/01/2018;Itajaí;
08/01/2018;Chapecó;
08/01/2018;Lages;
08/01/2018;Caçador;
