"Feature","Importance"
"S_pandemic_Gtrends",0.130439376822965
"S_pandemic_cumuldeaths_log",0.0793983654729217
"O_supermarket_Gtrends",0.0762094210583068
"S_pandemic_cumulcases_log",0.0674886166354299
"S_wind_gust_max",0.0637193147880078
"S_health_Gtrends",0.0633387084052779
"O_minimarket_Gtrends",0.0607710781067442
"S_precip_acc_3d",0.0525569401539664
"O_psych_fear_Gtrends",0.0511066530962283
"O_gov_policy_Gtrends",0.050006901270992
"O_inflation_Gtrends",0.0495805529292891
"S_strike_Gtrends",0.036918024375346
"S_climate_Gtrends",0.0330321792161936
"O_mobil_dist_0",0.0264749841176575
"S_cyclone_Gtrends",0.0219250410845971
"O_mobil_dist_0_10km",0.0068482723224252
"O_news_count",0.00396572790748518
"O_basicfoodbasket_Gtrends",0.00334009014000534
"O_mobil_dist_100km_plus",0.0020642337888916
"O_rationing_Gtrends",0.00145436675143228
"S_strike_event",0.000268432308663047
"O_mobil_dist_10_100km",0.000218814800778508
