"fold_id","n_pos","auc_pr","auc_roc","base_rate","model"
1,81,0.0675089226325205,0.681216764770307,0.0296703296703297,"AR-only"
2,105,0.13980243129085,0.760032284100081,0.0380434782608696,"AR-only"
3,66,0.0929496547103132,0.744271709164121,0.0243093922651934,"AR-only"
4,86,0.123798337089806,0.734410603398793,0.0311594202898551,"AR-only"
5,42,0.075905931357145,0.720538720538721,0.0154696132596685,"AR-only"
6,36,0.0261489166689764,0.665861070321423,0.0130434782608696,"AR-only"
7,37,0.057691282087891,0.692590275114547,0.0136279926335175,"AR-only"
8,38,0.0402625467431029,0.701225878804285,0.013768115942029,"AR-only"
9,51,0.112001479780684,0.807646985632626,0.0186813186813187,"AR-only"
10,69,0.173687417891061,0.775914346802816,0.025,"AR-only"
11,54,0.15977196729118,0.804257658635712,0.0198895027624309,"AR-only"
12,56,0.0868834840718321,0.692306669503244,0.0204230488694384,"AR-only"
1,81,0.0213497891392824,0.342575115697049,0.0296703296703297,"External-only"
2,105,0.22413535152366,0.675842525334051,0.0380434782608696,"External-only"
3,66,0.0249062409842086,0.506408936476887,0.0243093922651934,"External-only"
4,86,0.0374951917305223,0.475881007462038,0.0311594202898551,"External-only"
5,42,0.0340002863674197,0.656106924625443,0.0154696132596685,"External-only"
6,36,0.0156810665611101,0.540065671398271,0.0130434782608696,"External-only"
7,37,0.0137293109190023,0.53014553014553,0.0136279926335175,"External-only"
8,38,0.0123620724159163,0.453275455354035,0.013768115942029,"External-only"
9,51,0.0178894089303442,0.454186153744813,0.0186813186813187,"External-only"
10,69,0.0282790803310423,0.531481750763414,0.025,"External-only"
11,54,0.10657321595298,0.746589975921054,0.0198895027624309,"External-only"
12,56,0.0488366894600807,0.638479284118711,0.0204230488694384,"External-only"
1,81,0.0909687559005065,0.704589199744604,0.0296703296703297,"Combined"
2,105,0.219448304703975,0.77529728275491,0.0380434782608696,"Combined"
3,66,0.0929779349817476,0.745095347586854,0.0243093922651934,"Combined"
4,86,0.123518190430061,0.728633612217565,0.0311594202898551,"Combined"
5,42,0.0598758510035578,0.736001995261255,0.0154696132596685,"Combined"
6,36,0.0510862346120681,0.656081742535487,0.0130434782608696,"Combined"
7,37,0.106463211472328,0.715651050602507,0.0136279926335175,"Combined"
8,38,0.0723830149772835,0.697532773889168,0.013768115942029,"Combined"
9,51,0.119383856228824,0.822570610924474,0.0186813186813187,"Combined"
10,69,0.157265933001896,0.782786421727821,0.025,"Combined"
11,54,0.170519382958969,0.802483054268098,0.0198895027624309,"Combined"
12,56,0.0654524742052439,0.694507233273056,0.0204230488694384,"Combined"
