"city","2018","2019","2020","2021","2022","2023","2024","2025"
"Araranguá",5,21,15,11,12,9,1,0
"Campos Novos",7,19,31,28,2,0,4,7
"Caçador",7,7,9,13,15,5,3,2
"Chapecó",1,10,12,13,10,9,12,8
"Curitibanos",14,8,14,35,23,8,0,1
"Florianópolis",4,5,9,7,11,9,5,6
"Indaial",3,6,17,16,16,12,7,6
"Itajaí",3,5,8,11,11,18,20,5
"Itapoá",8,9,12,17,7,3,1,6
"Joaçaba",5,17,23,15,10,2,16,14
"Lages",5,14,15,13,15,9,1,2
"Laguna",10,14,12,9,3,6,3,3
"Rio Negrinho",7,13,20,13,6,6,6,8
"Xanxerê",13,17,20,23,27,1,4,5
"São Miguel do Oeste",0,0,2,1,1,1,3,10
