"city","episode_id","start_date","end_date","duration_days","n_panic_days","peak_PBB","mean_PBB","is_extreme","year","is_pandemic","is_climate","is_geopol","crisis_type"
"Araranguá",1,2018-10-06,2018-10-06,1,1,2.49762275766326,2.49762275766326,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",2,2018-11-03,2018-11-03,1,1,3.14547940773886,3.14547940773886,1,2018,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",3,2018-11-23,2018-11-24,2,2,2.51091602266982,2.26423767098881,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",4,2018-12-01,2018-12-01,1,1,3.11486831052786,3.11486831052786,1,2018,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",5,2018-12-21,2018-12-24,4,4,3.2179339952444,2.92585537370543,1,2018,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",6,2019-01-05,2019-01-05,1,1,3.27559100226003,3.27559100226003,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",7,2019-02-02,2019-02-02,1,1,3.28584105876841,3.28584105876841,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",8,2019-03-02,2019-03-02,1,1,3.40450415208569,3.40450415208569,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",9,2019-03-09,2019-03-09,1,1,2.01228259218253,2.01228259218253,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",10,2019-04-06,2019-04-06,1,1,3.28056501610425,3.28056501610425,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",11,2019-04-13,2019-04-13,1,1,2.12303493471872,2.12303493471872,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",12,2019-04-18,2019-04-18,1,1,2.13586325188352,2.13586325188352,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",13,2019-05-04,2019-05-04,1,1,3.38030528349195,3.38030528349195,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",14,2019-05-11,2019-05-11,1,1,2.49832123065756,2.49832123065756,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",15,2019-06-01,2019-06-01,1,1,3.69205818297442,3.69205818297442,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",16,2019-07-06,2019-07-06,1,1,3.45893648023746,3.45893648023746,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",17,2019-08-03,2019-08-03,1,1,3.45863726721617,3.45863726721617,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",18,2019-08-10,2019-08-10,1,1,2.39294871744349,2.39294871744349,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",19,2019-09-07,2019-09-07,1,1,3.64483104124274,3.64483104124274,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",20,2019-10-05,2019-10-05,1,1,3.32448396163115,3.32448396163115,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",21,2019-11-02,2019-11-02,1,1,2.38480213442719,2.38480213442719,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",22,2019-11-09,2019-11-09,1,1,2.0518259572273,2.0518259572273,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",23,2019-11-29,2019-11-30,2,2,3.37565124451311,2.94259502768165,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",24,2019-12-07,2019-12-07,1,1,2.98034013198481,2.98034013198481,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",25,2019-12-20,2019-12-24,5,5,3.85899500294745,2.94838636844412,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",26,2019-12-30,2019-12-30,1,1,3.18526187150743,3.18526187150743,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",27,2020-02-01,2020-02-01,1,1,3.01632989087767,3.01632989087767,1,2020,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",28,2020-02-08,2020-02-08,1,1,2.03462628950206,2.03462628950206,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",29,2020-03-07,2020-03-07,1,1,3.28864165447207,3.28864165447207,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",30,2020-03-17,2020-03-18,2,2,2.84584019593711,2.61777655932243,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",31,2020-05-02,2020-05-02,1,1,2.68776092607538,2.68776092607538,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",32,2020-05-09,2020-05-09,1,1,2.86155616911712,2.86155616911712,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",33,2020-06-06,2020-06-06,1,1,2.99791174469609,2.99791174469609,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",34,2020-07-04,2020-07-04,1,1,2.75255630647189,2.75255630647189,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",35,2020-08-01,2020-08-01,1,1,2.04881241180543,2.04881241180543,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",36,2020-08-08,2020-08-08,1,1,2.58708222161268,2.58708222161268,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",37,2020-09-05,2020-09-05,1,1,2.66877650127404,2.66877650127404,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",38,2020-11-07,2020-11-07,1,1,2.25518261080688,2.25518261080688,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",39,2020-11-27,2020-11-29,3,3,3.78205124987236,2.66322619856179,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",40,2020-12-20,2020-12-24,5,4,3.79140230870418,2.86809021787071,1,2020,TRUE,TRUE,FALSE,"Climate"
"Araranguá",41,2020-12-30,2020-12-30,1,1,2.59116920569052,2.59116920569052,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",42,2021-02-06,2021-02-06,1,1,2.05520307031565,2.05520307031565,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",43,2021-04-03,2021-04-03,1,1,2.60891565910043,2.60891565910043,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",44,2021-05-08,2021-05-08,1,1,3.05516529489939,3.05516529489939,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",45,2021-07-03,2021-07-03,1,1,2.0890530011726,2.0890530011726,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",46,2021-08-07,2021-08-07,1,1,2.96834609971303,2.96834609971303,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",47,2021-09-04,2021-09-04,1,1,2.76014879937796,2.76014879937796,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",48,2021-10-09,2021-10-09,1,1,2.05170260548172,2.05170260548172,0,2021,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",49,2021-11-06,2021-11-06,1,1,2.10385111365976,2.10385111365976,0,2021,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",50,2021-11-26,2021-11-27,2,2,3.33957451329563,2.74251671500261,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",51,2021-12-21,2021-12-24,4,4,3.79956402848751,3.02933120137922,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",52,2021-12-30,2021-12-30,1,1,2.53577639330021,2.53577639330021,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",53,2022-02-05,2022-02-05,1,1,2.51578345066167,2.51578345066167,0,2022,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",54,2022-03-05,2022-03-05,1,1,2.01648540266596,2.01648540266596,0,2022,TRUE,FALSE,FALSE,"Pandemic"
"Araranguá",55,2022-05-07,2022-05-07,1,1,3.4414435916376,3.4414435916376,1,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",56,2022-06-04,2022-06-04,1,1,2.48773884370978,2.48773884370978,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",57,2022-07-02,2022-07-02,1,1,2.04808339697044,2.04808339697044,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",58,2022-08-06,2022-08-06,1,1,2.57268656135533,2.57268656135533,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",59,2022-09-03,2022-09-03,1,1,2.73879575396839,2.73879575396839,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",60,2022-10-01,2022-10-01,1,1,2.3217479853926,2.3217479853926,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",61,2022-11-05,2022-11-05,1,1,2.36916383902245,2.36916383902245,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",62,2022-11-25,2022-11-25,1,1,3.86876501669163,3.86876501669163,1,2022,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",63,2022-12-03,2022-12-03,1,1,2.04202848858806,2.04202848858806,0,2022,FALSE,TRUE,FALSE,"Climate"
"Araranguá",64,2022-12-21,2022-12-23,3,3,2.94638420586229,2.63188852826797,0,2022,FALSE,TRUE,FALSE,"Climate"
"Araranguá",65,2023-02-04,2023-02-04,1,1,2.28490568235329,2.28490568235329,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",66,2023-03-04,2023-03-04,1,1,2.16400755488219,2.16400755488219,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",67,2023-04-01,2023-04-01,1,1,2.38872825177742,2.38872825177742,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",68,2023-04-06,2023-04-08,3,2,2.51329441184892,2.27283841308439,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",69,2023-05-06,2023-05-08,3,2,3.59314145328978,3.07681261552734,1,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",70,2023-08-05,2023-08-05,1,1,2.33038030560828,2.33038030560828,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",71,2023-09-02,2023-09-02,1,1,2.34019053959835,2.34019053959835,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",72,2023-11-24,2023-11-24,1,1,3.43089081337419,3.43089081337419,1,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",73,2023-12-22,2023-12-22,1,1,2.10338476192964,2.10338476192964,0,2023,FALSE,FALSE,FALSE,"Unattributed"
"Araranguá",74,2024-12-16,2024-12-16,1,1,4.47259149795301,4.47259149795301,1,2024,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",1,2018-03-29,2018-03-31,3,2,4.15221364772787,3.26897899767553,1,2018,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",2,2018-06-01,2018-06-01,1,1,2.95731228664716,2.95731228664716,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",3,2018-06-30,2018-06-30,1,1,2.11635235977211,2.11635235977211,0,2018,FALSE,FALSE,FALSE,"Unattributed"
