"metric","Prioritized_Model","Overlap_Model"
"Total episodes","1137","1137"
"Cities with at least one episode","15","15"
"Mean duration (days)","1.80","1.80"
"Median duration (days)","1","1"
"Max duration (days)","37","37"
"Mean peak PBB-Score","3.15","3.15"
"Episodes with extreme (>=3σ) days","489","489"
"Episodes per city-year (mean)","9.47","9.47"
"---------------------------------------------","---","---"
"Episodes: Pandemic (count)","377","377"
"Episodes: Pandemic (% of total)","33.2%","33.2%"
"Episodes: Climate (count)","36","20"
"Episodes: Climate (% of total)","3.2%","1.8%"
"Episodes: Geopolitical (count)","2","1"
"Episodes: Geopolitical (% of total)","0.2%","0.1%"
"Episodes: Unattributed (count)","722","722"
"Episodes: Unattributed (% of total)","63.5%","63.5%"
"Episodes: Pandemic & Climate (count)","N/A","16"
"Episodes: Pandemic & Climate (% of total)","N/A","1.4%"
"Episodes: Geopolitical & Climate (count)","N/A","0"
"Episodes: Geopolitical & Climate (% of total)","N/A","0.0%"
