"category","horizon","shock","crisis","beta","se","t_stat","p_value","n_obs","ci_lo","ci_hi"
"Anticipation (O-news)",0,"O_news_count","all",0.00804811101011917,0.0206701159308758,0.389359742201415,0.702868398679009,43407,-0.0324653162143974,0.0485615382346357
"Anticipation (O-news)",1,"O_news_count","all",-0.0270418459546849,0.0147704131370023,-1.83081175210601,0.0884930407721259,43392,-0.0559918557032095,0.00190816379383964
"Anticipation (O-news)",2,"O_news_count","all",-0.0345154761550861,0.0132453133594122,-2.60586331319667,0.0207392669066896,43377,-0.060476290339534,-0.00855466197063812
"Anticipation (O-news)",3,"O_news_count","all",-0.0253471361466521,0.0133596461537172,-1.89729098024048,0.0786090958448844,43362,-0.0515320426079377,0.000837770314633595
"Anticipation (O-news)",4,"O_news_count","all",-0.0318721010393551,0.00968118260177509,-3.29217021828627,0.00534490832668635,43347,-0.0508472189388343,-0.0128969831398759
"Anticipation (O-news)",5,"O_news_count","all",-0.0469426238288886,0.0117369065848729,-3.99957377946508,0.00131714962205022,43332,-0.0699469607352395,-0.0239382869225378
"Anticipation (O-news)",6,"O_news_count","all",-0.049175848315208,0.0204496970815695,-2.40472257946198,0.0305909181585689,43317,-0.0892572545950842,-0.00909444203533168
"Anticipation (O-news)",7,"O_news_count","all",-0.00756046754603538,0.0206670246198755,-0.365822738642528,0.719965806684117,43302,-0.0480678358009913,0.0329469007089205
"Anticipation (O-news)",8,"O_news_count","all",-0.0234765694290627,0.013092632497843,-1.79311299182425,0.0945792355005701,43287,-0.049138129124835,0.00218499026670967
"Anticipation (O-news)",9,"O_news_count","all",-0.0361993308335498,0.0117538319613059,-3.07978971902265,0.00815314597366223,43272,-0.0592368414777094,-0.0131618201893902
"Anticipation (O-news)",10,"O_news_count","all",-0.042275087685893,0.00913984908945106,-4.62535948593349,0.000393047425843389,43257,-0.0601891919012171,-0.024360983470569
"Anticipation (O-news)",11,"O_news_count","all",-0.0330131312685885,0.00839292445420455,-3.93344792375083,0.00149976138020018,43242,-0.0494632631988294,-0.0165629993383475
"Anticipation (O-news)",12,"O_news_count","all",-0.0268635858306259,0.00815454670466912,-3.29430767932745,0.00532222523648927,43227,-0.0428464973717773,-0.0108806742894744
"Anticipation (O-news)",13,"O_news_count","all",-0.0174088542380923,0.00774751978044557,-2.2470228836371,0.041284970505383,43212,-0.0325939930077656,-0.00222371546841897
"Anticipation (O-news)",14,"O_news_count","all",0.00102901729826061,0.00997551474595276,0.103154305764332,0.919303572124625,43197,-0.0185229916038068,0.020581026200328
