"category","horizon","shock","crisis","beta","se","t_stat","p_value","n_obs","ci_lo","ci_hi"
"Realization (price)",0,"O_basicfoodbasket_Gtrends","all",-0.00818058373537485,0.00679777122088041,-1.20342145529213,0.248768535445828,43407,-0.0215042153283005,0.00514304785755077
"Realization (price)",1,"O_basicfoodbasket_Gtrends","all",0.00311857881243075,0.010794316561582,0.288909334337114,0.776884594084934,43392,-0.01803828164827,0.0242754392731315
"Realization (price)",2,"O_basicfoodbasket_Gtrends","all",0.0181012262350525,0.0112243611724677,1.61267318085355,0.129122541517123,43377,-0.00389852166298415,0.0401009741330891
"Realization (price)",3,"O_basicfoodbasket_Gtrends","all",0.015691558484501,0.0108857493363597,1.44147710916779,0.171443174620701,43362,-0.00564451021476401,0.0370276271837659
"Realization (price)",4,"O_basicfoodbasket_Gtrends","all",0.0096744935904809,0.0102532584870729,0.943553076583241,0.361397501189894,43347,-0.0104218930441821,0.0297708802251439
"Realization (price)",5,"O_basicfoodbasket_Gtrends","all",0.0191022417454581,0.00918199073465455,2.08040307352552,0.0563363524017678,43332,0.00110553990553523,0.0370989435853811
"Realization (price)",6,"O_basicfoodbasket_Gtrends","all",0.016760189855826,0.00761458584494358,2.20106387886552,0.0450104428449684,43317,0.00183560159973658,0.0316847781119154
"Realization (price)",7,"O_basicfoodbasket_Gtrends","all",0.004078267033112,0.0068665899532213,0.59392901875534,0.562034309439552,43302,-0.00938024927520174,0.0175367833414258
"Realization (price)",8,"O_basicfoodbasket_Gtrends","all",0.0084492492360337,0.00923462803711458,0.914952849435365,0.375706536020276,43287,-0.00965062171671088,0.0265491201887783
"Realization (price)",9,"O_basicfoodbasket_Gtrends","all",0.02328016896152,0.0112361232364265,2.07190402522889,0.0572261454046245,43272,0.00125736741812397,0.045302970504916
"Realization (price)",10,"O_basicfoodbasket_Gtrends","all",0.0249751417316038,0.0106059419477757,2.35482542282269,0.0336524180598574,43257,0.00418749551396348,0.0457627879492441
"Realization (price)",11,"O_basicfoodbasket_Gtrends","all",0.0238485458636002,0.0110996997356943,2.14857576614512,0.0496485236742477,43242,0.00209313438163936,0.0456039573455611
"Realization (price)",12,"O_basicfoodbasket_Gtrends","all",0.0277188723199815,0.0115864328858655,2.39235600749875,0.0313240174610678,43227,0.00500946386368506,0.050428280776278
"Realization (price)",13,"O_basicfoodbasket_Gtrends","all",0.0296340090331845,0.0114907295273082,2.57894931411953,0.0218539717143386,43212,0.00711217915966041,0.0521558389067086
"Realization (price)",14,"O_basicfoodbasket_Gtrends","all",0.0193483755544409,0.016572924950596,1.16746896592596,0.262520700863737,43197,-0.0131345573487272,0.0518313084576089
