"category","horizon","shock","crisis","beta","se","t_stat","p_value","n_obs","ci_lo","ci_hi"
"Trigger (S-pandemic)",0,"S_pandemic_Gtrends","all",0.01782026263761,0.0138574725802713,1.28596773577459,0.219317016976002,43407,-0.00934038361972181,0.0449809088949418
"Trigger (S-pandemic)",1,"S_pandemic_Gtrends","all",0.0442890201814953,0.0193956271030951,2.28345389123448,0.0385395721090926,43392,0.00627359105942897,0.0823044493035616
"Trigger (S-pandemic)",2,"S_pandemic_Gtrends","all",0.0587510856842218,0.0217240594715108,2.7044248226842,0.0171077475647566,43377,0.0161719291200605,0.101330242248383
"Trigger (S-pandemic)",3,"S_pandemic_Gtrends","all",0.0586453054483121,0.0209762345427684,2.79579756456004,0.0142980867093411,43362,0.017531885744486,0.0997587251521383
"Trigger (S-pandemic)",4,"S_pandemic_Gtrends","all",0.0685334439607974,0.022582901036538,3.03474933755915,0.00891552660851134,43347,0.024270957929183,0.112795929992412
"Trigger (S-pandemic)",5,"S_pandemic_Gtrends","all",0.0568486485438784,0.0239873877980121,2.36993911227756,0.0326956696581685,43332,0.00983336845977469,0.103863928627982
"Trigger (S-pandemic)",6,"S_pandemic_Gtrends","all",0.029486078763933,0.0173654345980617,1.69797528518084,0.111618571645706,43317,-0.00455017304826796,0.063522330576134
"Trigger (S-pandemic)",7,"S_pandemic_Gtrends","all",0.0100977719633554,0.014551922829362,0.693913243065081,0.499089537961495,43302,-0.0184239967821941,0.0386195407089049
"Trigger (S-pandemic)",8,"S_pandemic_Gtrends","all",0.0441452950449628,0.0218591782471356,2.01953131750264,0.0630008942218752,43287,0.00130130568057713,0.0869892844093485
"Trigger (S-pandemic)",9,"S_pandemic_Gtrends","all",0.0563459574978953,0.0222479770569499,2.53263284808601,0.0239087588352471,43272,0.0127399224662735,0.0999519925295172
"Trigger (S-pandemic)",10,"S_pandemic_Gtrends","all",0.0570692903170761,0.0196287482425071,2.90743401525164,0.0114722543905962,43257,0.0185969437617621,0.0955416368723901
"Trigger (S-pandemic)",11,"S_pandemic_Gtrends","all",0.0565915999795241,0.0201963666704167,2.80206835729609,0.0141227095896476,43242,0.0170067213055074,0.0961764786535409
"Trigger (S-pandemic)",12,"S_pandemic_Gtrends","all",0.0565636001205607,0.0222329490632414,2.54413393201533,0.0233818309755825,43227,0.0129870199566076,0.100140180284514
"Trigger (S-pandemic)",13,"S_pandemic_Gtrends","all",0.0425198308551886,0.0185587534331716,2.29109304179823,0.037986119196706,43212,0.00614467412617221,0.078894987584205
"Trigger (S-pandemic)",14,"S_pandemic_Gtrends","all",0.0281290055592581,0.0159205922659884,1.76683160332866,0.0990395790012428,43197,-0.00307535528207918,0.0593333664005954
