"category","horizon","shock","beta","se","p_value","n_obs","se_type","ci_lo","ci_hi"
"Trigger (S-pandemic)",0,"S_pandemic_Gtrends",0.0183655491927363,0.0141259813207142,0.214555737083876,43407,"twoway(city,date)",-0.0093213741958636,0.0460524725813362
"Trigger (S-pandemic)",1,"S_pandemic_Gtrends",0.0442830685529994,0.019427420062103,0.0388355669212239,43392,"twoway(city,date)",0.00620532523127745,0.0823608118747213
"Trigger (S-pandemic)",2,"S_pandemic_Gtrends",0.0587279277394854,0.0218355394547665,0.017613084449108,43377,"twoway(city,date)",0.015930270408143,0.101525585070828
"Trigger (S-pandemic)",3,"S_pandemic_Gtrends",0.0587980355483892,0.0210925289838824,0.0145298816957252,43362,"twoway(city,date)",0.0174566787399798,0.100139392356799
"Trigger (S-pandemic)",4,"S_pandemic_Gtrends",0.0687253664309171,0.0226829693183314,0.0090030884247098,43347,"twoway(city,date)",0.0242667465669876,0.113183986294847
"Trigger (S-pandemic)",5,"S_pandemic_Gtrends",0.0574445355759537,0.0240670604069484,0.0316555821205442,43332,"twoway(city,date)",0.0102730971783347,0.104615973973573
"Trigger (S-pandemic)",6,"S_pandemic_Gtrends",0.029581494332589,0.0175400823096257,0.113844247562785,43317,"twoway(city,date)",-0.00479706699427739,0.0639600556594554
"Trigger (S-pandemic)",7,"S_pandemic_Gtrends",0.0107307771232604,0.0148036442315722,0.480470015697265,43302,"twoway(city,date)",-0.0182843655706212,0.039745919817142
"Trigger (S-pandemic)",8,"S_pandemic_Gtrends",0.0446552672645243,0.0220238245956196,0.0620789202421574,43287,"twoway(city,date)",0.00148857105710995,0.0878219634719386
"Trigger (S-pandemic)",9,"S_pandemic_Gtrends",0.0561797343947046,0.0223653656634973,0.0248872230870869,43272,"twoway(city,date)",0.0123436176942498,0.100015851095159
"Trigger (S-pandemic)",10,"S_pandemic_Gtrends",0.0576404521256412,0.0197428936526025,0.0112006219732922,43257,"twoway(city,date)",0.0189443805665402,0.0963365236847422
"Trigger (S-pandemic)",11,"S_pandemic_Gtrends",0.0566525992445062,0.0203255064702283,0.0145401027524017,43242,"twoway(city,date)",0.0168146065628588,0.0964905919261536
"Trigger (S-pandemic)",12,"S_pandemic_Gtrends",0.0569912221932104,0.0223259536350708,0.0229971253759125,43227,"twoway(city,date)",0.0132323530684717,0.100750091317949
"Trigger (S-pandemic)",13,"S_pandemic_Gtrends",0.0431752462193237,0.0187613073649704,0.0372588810994039,43212,"twoway(city,date)",0.00640308378398162,0.0799474086546657
"Trigger (S-pandemic)",14,"S_pandemic_Gtrends",0.0287236036272526,0.0161610562069524,0.0972351798909214,43197,"twoway(city,date)",-0.00295206653837401,0.0603992737928793
"Trigger (S-climate)",0,"S_wind_gust_max",0.0110363655804893,0.013984261812286,0.443156579022896,43407,"twoway(city,date)",-0.0163727875715913,0.0384455187325698
"Trigger (S-climate)",1,"S_wind_gust_max",0.00592084521316786,0.0202898005024937,0.774708330673187,43392,"twoway(city,date)",-0.0338471637717198,0.0456888541980556
"Trigger (S-climate)",2,"S_wind_gust_max",-0.00392972786029444,0.0206896812390438,0.852085210985039,43377,"twoway(city,date)",-0.0444815030888204,0.0366220473682315
"Trigger (S-climate)",3,"S_wind_gust_max",-0.00515641033574061,0.0212207636386022,0.81153798941813,43362,"twoway(city,date)",-0.0467491070674009,0.0364362863959196
"Trigger (S-climate)",4,"S_wind_gust_max",0.000585798327461701,0.0241380233918877,0.980980806030649,43347,"twoway(city,date)",-0.0467247275206382,0.0478963241755616
"Trigger (S-climate)",5,"S_wind_gust_max",0.00100587865255231,0.0213869835735047,0.963151832112833,43332,"twoway(city,date)",-0.0409126091515169,0.0429243664566215
"Trigger (S-climate)",6,"S_wind_gust_max",-0.0111459915619934,0.0167679608191182,0.517030250679396,43317,"twoway(city,date)",-0.044011194767465,0.0217192116434783
"Trigger (S-climate)",7,"S_wind_gust_max",0.0124304018787145,0.0144496935267574,0.404140786503408,43302,"twoway(city,date)",-0.0158909974337301,0.0407518011911591
"Trigger (S-climate)",8,"S_wind_gust_max",0.00332913124398201,0.0221084644364732,0.882453718102127,43287,"twoway(city,date)",-0.0400034590515055,0.0466617215394695
"Trigger (S-climate)",9,"S_wind_gust_max",0.00216969396293123,0.0245159371345814,0.930731728460903,43272,"twoway(city,date)",-0.0458815428208484,0.0502209307467108
