"category","horizon","shock","crisis_type","beta","se","ci_lo","ci_hi","delta","se_delta","p_delta"
"Trigger (S-pandemic)",0,"S_pandemic_Gtrends","Calm",0.0295031138108894,0.0250863904252093,-0.0196662114225208,0.0786724390442995,NA,NA,NA
"Trigger (S-pandemic)",0,"S_pandemic_Gtrends","Pandemic",-0.0324275846523437,0.0230973450539457,-0.0776983809580774,0.01284321165339,-0.061930698463233,0.035344582570196,0.0797398084286724
"Trigger (S-pandemic)",0,"S_pandemic_Gtrends","Climate",0.0697600287205693,0.076656547981168,-0.0804868053225199,0.220006862763659,0.04025691490968,0.0730205701271305,0.581421706490157
"Trigger (S-pandemic)",0,"S_pandemic_Gtrends","Geopolitical",0.21248406946836,0.344407998222695,-0.462555607048123,0.887523745984842,0.18298095565747,0.342940167167458,0.593642356555901
"Trigger (S-pandemic)",1,"S_pandemic_Gtrends","Calm",0.0851876408418839,0.0334868492216949,0.0195534163673619,0.150821865316406,NA,NA,NA
"Trigger (S-pandemic)",1,"S_pandemic_Gtrends","Pandemic",-0.0687523830067563,0.0222936642655026,-0.112447964967141,-0.0250568010463712,-0.15394002384864,0.0436401529132386,0.000419526113043542
"Trigger (S-pandemic)",1,"S_pandemic_Gtrends","Climate",0.158607393177909,0.0882747031811594,-0.0144110250571634,0.331625811412982,0.0734197523360252,0.0801508824760059,0.359656791375573
"Trigger (S-pandemic)",1,"S_pandemic_Gtrends","Geopolitical",0.108155121462176,0.416289208269938,-0.707771726746903,0.924081969671255,0.022967480620292,0.416727199785899,0.956047685282559
"Trigger (S-pandemic)",2,"S_pandemic_Gtrends","Calm",0.10225951641548,0.0361297227297531,0.0314452598651638,0.173073772965796,NA,NA,NA
"Trigger (S-pandemic)",2,"S_pandemic_Gtrends","Pandemic",-0.0698801147543598,0.0263939859343108,-0.121612327185609,-0.0181479023231107,-0.17213963116984,0.0481956728237681,0.000354695535074974
"Trigger (S-pandemic)",2,"S_pandemic_Gtrends","Climate",0.176453208864859,0.1071003561931,-0.0334634892736172,0.386369907003336,0.0741936924493792,0.10221315957132,0.467917111713876
"Trigger (S-pandemic)",2,"S_pandemic_Gtrends","Geopolitical",-0.00157320468785144,0.377694880497039,-0.741855170462048,0.738708761086345,-0.103832721103331,0.377565185852898,0.783311568407976
"Trigger (S-pandemic)",3,"S_pandemic_Gtrends","Calm",0.0935609858252151,0.0367491111046419,0.0215327280601171,0.165589243590313,NA,NA,NA
"Trigger (S-pandemic)",3,"S_pandemic_Gtrends","Pandemic",-0.0691413664371335,0.0298139359501733,-0.127576680899473,-0.0107060519747938,-0.162702352262349,0.050301940035898,0.00121849751633881
"Trigger (S-pandemic)",3,"S_pandemic_Gtrends","Climate",0.37287072224084,0.165173909372135,0.0491298598714549,0.696611584610225,0.279309736415625,0.159656891670426,0.0802154418925425
"Trigger (S-pandemic)",3,"S_pandemic_Gtrends","Geopolitical",0.304884214535328,0.445936480484451,-0.569151287214196,1.17891971628485,0.211323228710113,0.445921631568711,0.635569671937269
"Trigger (S-pandemic)",4,"S_pandemic_Gtrends","Calm",0.175061966602109,0.0390958102926115,0.0984341784285903,0.251689754775627,NA,NA,NA
"Trigger (S-pandemic)",4,"S_pandemic_Gtrends","Pandemic",-0.0788089271394168,0.0336414228397166,-0.144746115905261,-0.0128717383735722,-0.253870893741526,0.0538511534242034,0.00000242534226697406
"Trigger (S-pandemic)",4,"S_pandemic_Gtrends","Climate",0.550117392110792,0.190158561385014,0.177406611796164,0.92282817242542,0.375055425508683,0.187628431605921,0.0456163177238878
"Trigger (S-pandemic)",4,"S_pandemic_Gtrends","Geopolitical",0.572894480313517,0.353913821114223,-0.120776609070361,1.26656556969739,0.397832513711408,0.355915032419564,0.263663595491751
"Trigger (S-pandemic)",5,"S_pandemic_Gtrends","Calm",0.120933528034388,0.0359431326642373,0.0504849880124825,0.191382068056293,NA,NA,NA
"Trigger (S-pandemic)",5,"S_pandemic_Gtrends","Pandemic",-0.0778461882541032,0.0308607368527115,-0.138333232485418,-0.0173591440227888,-0.198779716288491,0.04701438044763,0.0000235712826530685
"Trigger (S-pandemic)",5,"S_pandemic_Gtrends","Climate",0.320476498320809,0.205399168261237,-0.0821058714712161,0.723058868112834,0.199542970286421,0.205710450539228,0.332037203861981
"Trigger (S-pandemic)",5,"S_pandemic_Gtrends","Geopolitical",0.510604864240037,0.471710487648107,-0.413947691550253,1.43515742003033,0.389671336205649,0.471701044368604,0.408748445780432
"Trigger (S-pandemic)",6,"S_pandemic_Gtrends","Calm",0.0750348739473653,0.0290005529926301,0.0181937900818103,0.13187595781292,NA,NA,NA
