"fold_id","train_end","test_start","test_end","n_train","n_val","n_test","best_nrounds","r2","rmse","mae"
1,2019-12-31,2020-01-01,2020-06-30,9600,1350,2730,2000,-0.0916391777743097,1.06089772166998,0.752611026360305
2,2020-07-01,2020-07-02,2021-01-01,12345,1350,2760,2000,-0.00579023548126778,1.18272256769381,0.811795772357119
3,2020-12-31,2021-01-01,2021-06-30,15090,1350,2715,2000,-0.0633937961882327,1.07387417014295,0.759526759868791
4,2021-07-01,2021-07-02,2022-01-01,17820,1350,2760,2000,-0.0676621084385347,1.23961750708149,0.869018386892503
5,2021-12-31,2022-01-01,2022-06-30,20565,1350,2715,2000,-0.124695585984378,1.08738479424641,0.814140999165984
6,2022-07-01,2022-07-02,2023-01-01,23295,1350,2760,2000,-0.391604622679606,1.20612647342899,0.928041010271129
7,2022-12-31,2023-01-01,2023-06-30,26040,1350,2715,2000,-0.233537088176342,1.12712103344978,0.875671543046293
8,2023-07-01,2023-07-02,2024-01-01,28770,1350,2760,2000,-0.102972675890565,1.10471836326169,0.849627283084254
9,2023-12-31,2024-01-01,2024-06-30,31515,1350,2730,2000,0.0327358295000648,0.990813528589103,0.738398853488964
10,2024-07-01,2024-07-02,2025-01-01,34260,1350,2760,2000,-0.0260576816417437,1.19699511449365,0.90767520112722
11,2024-12-31,2025-01-01,2025-06-30,37005,1350,2715,2000,-0.0649244916824145,1.27549411978193,0.971191316593094
12,2025-07-01,2025-07-02,2025-12-31,39735,1350,2742,2000,-0.0145314875257045,1.24368408065277,0.977826184819714
