"city","episode_start","first_cross_date","lead_time_days","detected"
"Araranguá",2020-02-01,2020-01-23,9,TRUE
"Araranguá",2020-03-07,NA,NA,FALSE
"Araranguá",2020-03-17,2020-03-13,4,TRUE
"Araranguá",2020-05-02,2020-04-18,14,TRUE
"Araranguá",2020-05-09,2020-04-26,13,TRUE
"Araranguá",2020-06-06,2020-05-23,14,TRUE
"Araranguá",2020-07-04,2020-06-20,14,TRUE
"Araranguá",2020-09-05,2020-08-26,10,TRUE
"Araranguá",2020-11-27,2020-11-14,13,TRUE
"Araranguá",2020-11-29,2020-11-21,8,TRUE
"Araranguá",2020-12-22,2020-12-12,10,TRUE
"Araranguá",2020-12-30,2020-12-17,13,TRUE
"Araranguá",2021-05-08,2021-05-01,7,TRUE
"Araranguá",2021-08-07,NA,NA,FALSE
"Araranguá",2021-09-04,2021-08-27,8,TRUE
"Araranguá",2021-11-26,2021-11-25,1,TRUE
"Araranguá",2021-12-22,2021-12-21,1,TRUE
"Araranguá",2022-05-07,2022-04-28,9,TRUE
"Araranguá",2022-08-06,2022-07-27,10,TRUE
"Araranguá",2022-09-03,2022-08-24,10,TRUE
"Araranguá",2022-11-25,2022-11-11,14,TRUE
"Araranguá",2022-12-22,2022-12-08,14,TRUE
"Araranguá",2023-05-06,2023-04-23,13,TRUE
"Araranguá",2023-05-08,2023-05-01,7,TRUE
"Araranguá",2023-08-05,NA,NA,FALSE
"Araranguá",2023-09-02,2023-08-23,10,TRUE
"Araranguá",2023-11-24,2023-11-15,9,TRUE
"Araranguá",2024-12-16,NA,NA,FALSE
"Campos Novos",2020-03-17,2020-03-06,11,TRUE
"Campos Novos",2020-03-31,2020-03-19,12,TRUE
"Campos Novos",2020-04-09,2020-03-26,14,TRUE
"Campos Novos",2020-04-30,2020-04-16,14,TRUE
"Campos Novos",2020-05-08,2020-04-26,12,TRUE
"Campos Novos",2020-05-29,2020-05-21,8,TRUE
"Campos Novos",2020-06-06,2020-05-23,14,TRUE
"Campos Novos",2020-06-12,2020-06-03,9,TRUE
"Campos Novos",2020-08-01,2020-07-19,13,TRUE
"Campos Novos",2020-08-07,2020-07-24,14,TRUE
"Campos Novos",2020-08-20,2020-08-08,12,TRUE
"Campos Novos",2020-08-28,2020-08-20,8,TRUE
"Campos Novos",2020-09-01,2020-08-20,12,TRUE
"Campos Novos",2020-09-04,2020-08-23,12,TRUE
"Campos Novos",2020-09-09,2020-08-26,14,TRUE
"Campos Novos",2020-09-15,2020-09-05,10,TRUE
"Campos Novos",2020-09-30,2020-09-16,14,TRUE
"Campos Novos",2020-10-29,2020-10-22,7,TRUE
"Campos Novos",2020-11-27,2020-11-14,13,TRUE
"Campos Novos",2020-12-22,2020-12-09,13,TRUE
"Campos Novos",2020-12-30,2020-12-17,13,TRUE
"Campos Novos",2021-02-26,2021-02-25,1,TRUE
"Campos Novos",2021-04-01,2021-03-18,14,TRUE
"Campos Novos",2021-08-06,NA,NA,FALSE
"Campos Novos",2021-12-21,NA,NA,FALSE
"Campos Novos",2021-12-23,2021-12-21,2,TRUE
"Campos Novos",2024-04-26,NA,NA,FALSE
"Campos Novos",2025-01-28,2025-01-18,10,TRUE
"Campos Novos",2025-02-18,2025-02-05,13,TRUE
"Campos Novos",2025-03-10,NA,NA,FALSE
"Campos Novos",2025-07-30,NA,NA,FALSE
"Campos Novos",2025-10-01,NA,NA,FALSE
"Campos Novos",2025-11-30,2025-11-29,1,TRUE
"Caçador",2020-01-07,2020-01-01,6,TRUE
"Caçador",2020-03-18,2020-03-15,3,TRUE
"Caçador",2020-03-29,2020-03-15,14,TRUE
"Caçador",2021-05-02,NA,NA,FALSE
"Caçador",2021-09-01,2021-08-27,5,TRUE
"Caçador",2022-02-15,2022-02-03,12,TRUE
"Caçador",2022-03-10,2022-02-25,13,TRUE
"Caçador",2022-03-22,2022-03-11,11,TRUE
"Caçador",2022-04-12,2022-03-29,14,TRUE
"Caçador",2022-04-14,NA,NA,FALSE
"Caçador",2023-08-21,2023-08-11,10,TRUE
"Caçador",2024-04-21,NA,NA,FALSE
"Caçador",2024-05-12,NA,NA,FALSE
"Caçador",2025-08-22,NA,NA,FALSE
"Caçador",2025-09-15,NA,NA,FALSE
"Chapecó",2020-03-07,2020-03-01,6,TRUE
"Chapecó",2020-03-17,2020-03-12,5,TRUE
"Chapecó",2020-09-05,2020-08-23,13,TRUE
"Chapecó",2020-09-30,2020-09-16,14,TRUE
"Chapecó",2020-10-21,2020-10-08,13,TRUE
"Chapecó",2020-11-11,2020-10-29,13,TRUE
"Chapecó",2020-11-27,2020-11-14,13,TRUE
"Chapecó",2020-12-22,2020-12-12,10,TRUE
"Chapecó",2021-05-01,NA,NA,FALSE
"Chapecó",2021-08-31,2021-08-27,4,TRUE
"Chapecó",2021-11-26,2021-11-25,1,TRUE
"Chapecó",2021-12-22,2021-12-21,1,TRUE
"Chapecó",2022-04-12,NA,NA,FALSE
"Chapecó",2022-11-25,2022-11-11,14,TRUE
"Chapecó",2022-12-21,2022-12-08,13,TRUE
